# 2730 - Awngthim

# add_core = PPT
# owner = PPT
# controller = PPT

culture = paman
religion = animism
capital = "Awngthim"
trade_goods = unknown
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1
native_size = 10
native_ferocity = 1
native_hostileness = 1
discovered_by = A7K
discovered_by = A7M
discovered_by = A7W
discovered_by = A7G
discovered_by = A7A
discovered_by = A7Y
discovered_by = A7T
discovered_by = A7N
discovered_by = A7P
discovered_by = A7R
discovered_by = A7B
discovered_by = A7I
discovered_by = A7U

discovered_by = P7T

discovered_by = MKS
discovered_by = TER
discovered_by = TID

1642.11.24 = { discovered_by = NED } # Abel Tasman
